month,Claude_Code,Copilot,Cursor,Devin,Human
2024-12,154.0,39.0,31.0,82.0,57.0
2025-01,152.0,54.0,27.0,76.0,60.0
2025-02,151.0,56.5,24.0,74.0,57.0
2025-03,159.0,74.5,27.0,72.0,61.0
2025-04,148.0,60.0,22.5,82.0,64.0
2025-05,145.0,239.0,35.0,119.0,69.0
2025-06,142.0,295.0,39.0,288.0,73.0
2025-07,151.0,357.0,49.0,405.0,83.0
2025-08,169.0,335.0,65.0,393.0,84.0
2025-09,189.0,336.0,75.0,275.0,85.0
2025-10,197.0,485.0,80.0,271.0,91.0
2025-11,167.0,334.0,87.0,330.5,100.0
2025-12,164.0,313.5,102.0,245.5,100.0
2026-01,153.0,318.0,98.0,217.0,113.0
2026-02,168.0,262.0,111.0,285.0,116.0
