month,Claude_Code,Copilot,Cursor,Devin,Human
2024-12,83.37,91.3,94.54,57.98,87.9
2025-01,83.48,91.67,96.18,59.18,87.31
2025-02,83.38,95.83,93.6,59.64,88.02
2025-03,78.43,95.35,94.16,46.5,86.98
2025-04,84.55,93.07,94.07,70.64,88.01
2025-05,84.65,73.5,88.85,75.81,86.99
2025-06,87.62,78.35,88.68,70.49,85.76
2025-07,88.12,78.26,89.32,69.46,84.36
2025-08,88.84,79.68,86.93,77.75,83.91
2025-09,82.75,73.48,88.45,65.83,84.02
2025-10,86.55,76.67,88.98,65.57,83.47
2025-11,85.31,77.65,87.3,52.67,83.93
2025-12,89.7,76.28,89.58,74.35,83.67
2026-01,89.67,75.5,88.69,77.06,82.63
2026-02,89.21,75.1,87.45,69.0,81.69
