month,Claude_Code,Copilot,Cursor,Devin,Human
2024-12,2.322,2.047,0.556,0.462,5.274
2025-01,2.917,1.98,0.523,0.315,5.279
2025-02,1.029,0.746,0.754,0.072,4.453
2025-03,1.353,4.822,0.524,0.233,5.563
2025-04,1.259,1.811,0.725,0.204,4.982
2025-05,0.798,0.515,0.41,0.22,5.41
2025-06,0.263,0.586,0.146,0.21,5.103
2025-07,0.273,0.523,0.036,0.234,5.491
2025-08,0.637,0.848,0.242,0.397,6.09
2025-09,1.103,1.368,0.534,1.985,5.701
2025-10,1.091,2.315,0.592,3.104,6.591
2025-11,1.199,1.952,0.457,2.672,6.226
2025-12,0.905,1.821,0.538,1.326,5.336
2026-01,0.96,2.509,0.539,2.285,5.423
2026-02,0.692,2.165,0.576,3.877,5.082
