month,Claude_Code,Copilot,Cursor,Devin,Human
2024-12,1389,69,1228,238,14240
2025-01,1410,72,1284,392,16317
2025-02,1703,72,1297,768,17312
2025-03,2230,86,1525,1013,19081
2025-04,2181,101,1400,1359,19050
2025-05,3016,1068,2143,1232,18510
2025-06,5381,2942,3586,820,18992
2025-07,7389,8036,9071,858,21451
2025-08,3853,3272,3313,364,18648
2025-09,2898,1697,2329,199,20021
2025-10,2379,1749,2024,244,20691
2025-11,2219,1951,1834,150,19074
2025-12,2329,1568,1689,230,19285
2026-01,2516,1947,2061,327,22096
2026-02,2966,2044,2271,229,23921
